PERMNO,CUSIP,Ticker,DlyCalDt,DlyPrc,DlyRetx,DlyClose
14593,03783310,AAPL,20200102,300.3500,0.022816,300.3500
14593,03783310,AAPL,20200103,297.4300,-0.009722,297.4300
14593,03783310,AAPL,20200106,299.8000,0.007968,299.8000
14593,03783310,AAPL,20200107,298.3900,-0.004703,298.3900
14593,03783310,AAPL,20200108,303.1900,0.016086,303.1900
14593,03783310,AAPL,20200109,309.6300,0.021241,309.6300
14593,03783310,AAPL,20200110,310.3300,0.002261,310.3300
14593,03783310,AAPL,20200113,316.9600,0.021364,316.9600
14593,03783310,AAPL,20200114,312.6800,-0.013503,312.6800
14593,03783310,AAPL,20200115,311.3400,-0.004286,311.3400
14593,03783310,AAPL,20200116,315.2400,0.012526,315.2400
14593,03783310,AAPL,20200117,318.7300,0.011071,318.7300
14593,03783310,AAPL,20200121,316.5700,-0.006777,316.5700
14593,03783310,AAPL,20200122,317.7000,0.003570,317.7000
14593,03783310,AAPL,20200123,319.2300,0.004816,319.2300
14593,03783310,AAPL,20200124,318.3100,-0.002882,318.3100
14593,03783310,AAPL,20200127,308.9500,-0.029405,308.9500
14593,03783310,AAPL,20200128,317.6900,0.028289,317.6900
14593,03783310,AAPL,20200129,324.3400,0.020932,324.3400
14593,03783310,AAPL,20200130,323.8700,-0.001449,323.8700
14593,03783310,AAPL,20200131,309.5100,-0.044339,309.5100
14593,03783310,AAPL,20200203,308.6600,-0.002746,308.6600
14593,03783310,AAPL,20200204,318.8500,0.033014,318.8500
14593,03783310,AAPL,20200205,321.4500,0.008154,321.4500
14593,03783310,AAPL,20200206,325.2100,0.011697,325.2100
14593,03783310,AAPL,20200207,320.0300,-0.015928,320.0300
14593,03783310,AAPL,20200210,321.5500,0.004750,321.5500
14593,03783310,AAPL,20200211,319.6100,-0.006033,319.6100
14593,03783310,AAPL,20200212,327.2000,0.023748,327.2000
14593,03783310,AAPL,20200213,324.8700,-0.007121,324.8700
14593,03783310,AAPL,20200214,324.9500,0.000246,324.9500
14593,03783310,AAPL,20200218,319.0000,-0.018311,319.0000
14593,03783310,AAPL,20200219,323.6200,0.014483,323.6200
