DATE,DGS5
2017-09-15,1.81
2017-09-18,1.83
2017-09-19,1.84
2017-09-20,1.89
2017-09-21,1.89
2017-09-22,1.88
2017-09-25,1.85
2017-09-26,1.87
2017-09-27,1.91
2017-09-28,1.89
2017-09-29,1.92
2017-10-02,1.94
2017-10-03,1.92
2017-10-04,1.92
2017-10-05,1.94
2017-10-06,1.97
2017-10-09,.
2017-10-10,1.95
2017-10-11,1.95
2017-10-12,1.95
2017-10-13,1.91
2017-10-16,1.95
2017-10-17,1.97
2017-10-18,1.99
2017-10-19,1.98
2017-10-20,2.03
2017-10-23,2.01
2017-10-24,2.05
2017-10-25,2.06
2017-10-26,2.07
2017-10-27,2.03
2017-10-30,2.00
2017-10-31,2.01
2017-11-01,2.01
2017-11-02,2.00
2017-11-03,1.99
2017-11-06,1.99
2017-11-07,1.99
2017-11-08,2.01
2017-11-09,2.01
2017-11-10,2.06
2017-11-13,2.08
2017-11-14,2.06
2017-11-15,2.04
2017-11-16,2.07
2017-11-17,2.06
2017-11-20,2.09
2017-11-21,2.11
2017-11-22,2.05
2017-11-23,.
2017-11-24,2.07
2017-11-27,2.06
2017-11-28,2.07
2017-11-29,2.09
2017-11-30,2.14
2017-12-01,2.13
2017-12-04,2.15
2017-12-05,2.15
2017-12-06,2.11
2017-12-07,2.14
2017-12-08,2.14
2017-12-11,2.16
2017-12-12,2.18
2017-12-13,2.12
2017-12-14,2.14
2017-12-15,2.16
2017-12-18,2.17
2017-12-19,2.23
2017-12-20,2.24
2017-12-21,2.26
2017-12-22,2.26
2017-12-25,.
2017-12-26,2.25
2017-12-27,2.22
2017-12-28,2.23
2017-12-29,2.20
2018-01-01,.
2018-01-02,2.25
2018-01-03,2.25
2018-01-04,2.27
2018-01-05,2.29
2018-01-08,2.29
2018-01-09,2.33
2018-01-10,2.32
2018-01-11,2.32
2018-01-12,2.35
2018-01-15,.
2018-01-16,2.36
2018-01-17,2.39
2018-01-18,2.43
2018-01-19,2.45
2018-01-22,2.46
2018-01-23,2.43
2018-01-24,2.43
2018-01-25,2.41
2018-01-26,2.47
2018-01-29,2.49
2018-01-30,2.51
2018-01-31,2.52
2018-02-01,2.56
2018-02-02,2.58
2018-02-05,2.50
2018-02-06,2.52
2018-02-07,2.57
2018-02-08,2.57
2018-02-09,2.52
2018-02-12,2.56
